#     MHz     10*Log10(L.P)   Imag(A.Z)
15.8947          -17.2738     -723.613
15.8949          -17.2565     -722.147
15.8950          -17.2391     -720.666
15.8952          -17.2214     -719.170
15.8953          -17.2035     -717.657
15.8955          -17.1853     -716.128
15.8956          -17.1669     -714.583
15.8958          -17.1483     -713.021
15.8959          -17.1295     -711.443
15.8961          -17.1104     -709.847
15.8962          -17.0910     -708.233
15.8964          -17.0714     -706.602
15.8965          -17.0515     -704.952
15.8967          -17.0314     -703.285
15.8968          -17.0110     -701.598
15.8970          -16.9903     -699.893
15.8971          -16.9693     -698.168
15.8973          -16.9481     -696.423
15.8974          -16.9265     -694.658
15.8976          -16.9046     -692.873
15.8977          -16.8825     -691.068
15.8979          -16.8600     -689.241
15.8980          -16.8372     -687.392
15.8982          -16.8140     -685.522
15.8983          -16.7906     -683.630
15.8985          -16.7668     -681.714
15.8986          -16.7426     -679.776
15.8988          -16.7181     -677.814
15.8989          -16.6932     -675.829
15.8991          -16.6679     -673.819
15.8992          -16.6422     -671.784
15.8994          -16.6162     -669.724
15.8995          -16.5897     -667.638
15.8997          -16.5629     -665.526
15.8998          -16.5356     -663.387
15.9000          -16.5078     -661.220
15.9002          -16.4797     -659.026
15.9003          -16.4511     -656.804
15.9005          -16.4220     -654.553
15.9006          -16.3924     -652.272
15.9008          -16.3623     -649.961
15.9009          -16.3318     -647.620
15.9011          -16.3007     -645.247
15.9012          -16.2691     -642.843
15.9014          -16.2370     -640.406
15.9015          -16.2043     -637.936
15.9017          -16.1710     -635.431
15.9018          -16.1372     -632.893
15.9020          -16.1027     -630.318
15.9021          -16.0676     -627.708
15.9023          -16.0319     -625.061
15.9024          -15.9955     -622.377
15.9026          -15.9585     -619.653
15.9027          -15.9208     -616.891
15.9029          -15.8823     -614.089
15.9030          -15.8432     -611.245
15.9032          -15.8032     -608.360
15.9033          -15.7626     -605.431
15.9035          -15.7211     -602.459
15.9036          -15.6787     -599.442
15.9038          -15.6356     -596.379
15.9039          -15.5915     -593.269
15.9041          -15.5466     -590.112
15.9042          -15.5007     -586.905
15.9044          -15.4539     -583.648
15.9045          -15.4061     -580.339
15.9047          -15.3572     -576.978
15.9048          -15.3073     -573.562
15.9050          -15.2563     -570.092
15.9051          -15.2042     -566.565
15.9053          -15.1509     -562.979
15.9054          -15.0964     -559.335
